date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:05	7899/7899	URF---	200	added ('OK%20(cached)')	image/png		http://homeeat.herokuapp.com/assets/images/menu-strip.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/menu-strip.png	(from http://homeeat.herokuapp.com/assets/css/main.css)
17:11:05	2948/2948	---M--	200	added ('OK')	image/png	etag:W/%22b84-1717075f1b0%22	http://homeeat.herokuapp.com/assets/images/error-bg.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/error-bg.png	(from http://homeeat.herokuapp.com/assets/css/main.css)
17:11:05	9024/9024	URF---	200	added ('OK%20(cached)')	image/png		http://homeeat.herokuapp.com/assets/images/error-bg2.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/error-bg2.png	(from http://homeeat.herokuapp.com/assets/css/main.css)
17:11:07	688937/688937	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c862e94cbef741d18838774587e3c49d%22	https://use.fontawesome.com/releases/v5.4.1/webfonts/fa-brands-400.svg	/home/ultr4/websites/Homeeat/use.fontawesome.com/releases/v5.4.1/webfonts/fa-brands-400.svg	(from https://use.fontawesome.com/releases/v5.4.1/css/all.css)
17:11:08	142267/142267	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b5a61b229c9c92a6ac21f5b0e3c6e9f1%22	https://use.fontawesome.com/releases/v5.4.1/webfonts/fa-regular-400.svg	/home/ultr4/websites/Homeeat/use.fontawesome.com/releases/v5.4.1/webfonts/fa-regular-400.svg	(from https://use.fontawesome.com/releases/v5.4.1/css/all.css)
17:11:09	725405/725405	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d220cf9da36861171fa90d3c164f4d3%22	https://use.fontawesome.com/releases/v5.4.1/webfonts/fa-solid-900.svg	/home/ultr4/websites/Homeeat/use.fontawesome.com/releases/v5.4.1/webfonts/fa-solid-900.svg	(from https://use.fontawesome.com/releases/v5.4.1/css/all.css)
17:11:11	7516/7516	---M--	200	added ('OK')	text/html	etag:W/%221d5c-YXrWaHqlhLYVLGFZhWHZRtpMwHs%22	http://homeeat.herokuapp.com/contactUs	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/contactUs.html	(from http://homeeat.herokuapp.com/)
17:11:11	0/-1	---M--	500	error ('')			http://homeeat.herokuapp.com/5e1c3dabe1f8d30017d5eabc	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/5e1c3dabe1f8d30017d5eabc.html	(from http://homeeat.herokuapp.com/)
17:11:11	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225afd4939-6c7db%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	/home/ultr4/websites/Homeeat/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css)
17:11:12	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2025%20Apr%202020%2012:11:11%20GMT	https://fonts.googleapis.com/robots.txt		(from http://homeeat.herokuapp.com/aboutUs)
17:11:13	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.67.delayed	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:13	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-bg_glass_85_dfeffc_1x400.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-bg_glass_85_dfeffc_1x400.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:14	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-bg_glass_75_d0e5f5_1x400.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-bg_glass_75_d0e5f5_1x400.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:15	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:16	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-bg_glass_95_fef1ec_1x400.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-bg_glass_95_fef1ec_1x400.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:17	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-icons_469bdd_256x240.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-icons_469bdd_256x240.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:18	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-icons_d8e7f3_256x240.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-icons_d8e7f3_256x240.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:19	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-icons_6da8d5_256x240.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-icons_6da8d5_256x240.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:20	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-icons_217bc0_256x240.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-icons_217bc0_256x240.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:21	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-icons_f9bd01_256x240.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-icons_f9bd01_256x240.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:22	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-icons_2e83ff_256x240.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-icons_2e83ff_256x240.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
17:11:23	3148/3148	---M--	404	error ('Not%20Found')	text/html	etag:W/%22c4c-fABbTsY6GknkK76iv04xLR7h/6k%22	http://homeeat.herokuapp.com/css/images/ui-icons_cd0a0a_256x240.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/css/images/ui-icons_cd0a0a_256x240.png	(from http://homeeat.herokuapp.com/css/jquery-ui.css)
